Trans. date,Post date,Description,Amount,Category
11/26/23,11/26/23,BAKEHOUSE 23 MKE SOUTH MILWAUKWI,$25.00,Merchandise
11/26/23,11/26/23,BOSWELL BOOK COMPANY MILWAUKEE WI,$59.06,Merchandise
11/26/23,11/26/23,PAYPAL *33F13 PREMIUM 888-221-1161 CA,$6.32,Services
11/26/23,11/26/23,PY *KETTLE RANGE MEAT CO MILWAUKEE WI,$37.98,Supermarkets
11/27/23,11/27/23,HALO BRANDED SOLUTIONS 815-548-9198 IL,$47.50,Services
11/27/23,11/27/23,PAYMENT - THANK YOU,"-$5,046.95",Payments and Credits
11/27/23,11/27/23,RIGHT AT SCHOOL 8552872466 IL,$154.00,Education
11/27/23,11/27/23,SQ *MILWAUKEE FARMERS GOSQ.COM WI0002305843018875573450,$42.50,Supermarkets
11/28/23,11/28/23,5-365 FOOD SERVICE TROY MI,$3.87,Restaurants
11/28/23,11/28/23,PEACOCK A44E3 PREMIUM NEW YORK NY,$21.09,Services
11/29/23,11/29/23,PY *KETTLE RANGE MEAT CO MILWAUKEE WI,$36.96,Supermarkets
11/29/23,11/29/23,WALGREENS #10196 WAUWATOSA WI,$60.43,Merchandise
11/30/23,11/30/23,5-365 FOOD SERVICE TROY MI,$4.82,Restaurants
11/30/23,11/30/23,MILTOWN EATS LLC 4144349799 WI,$50.00,Supermarkets
12/1/23,12/1/23,5-365 FOOD SERVICE TROY MI,$3.99,Restaurants
12/1/23,12/1/23,CULVERS OLO WAUKESHA 262-521-9339 WI,$24.85,Restaurants
12/1/23,12/1/23,SQ *JOY ICE CREAM SOCI WAUWATOSA WI0002305843018899022485,$19.41,Supermarkets
12/1/23,12/1/23,SQ *THE RUBY TAP WAUWATOSA WI0002305843018898496807,$65.41,Restaurants
12/1/23,12/1/23,TST* MISS MOLLYS CAFE 414-249-5665 WIAPPLE PAY ENDING IN 704900037390014902067155AA,$24.20,Restaurants
12/1/23,12/1/23,TST* MISS MOLLYS CAFE MILWAUKEE WI00037390014902258807AA,$180.00,Restaurants
12/2/23,12/2/23,5-365 FOOD SERVICE TROY MI,$1.01,Restaurants
12/2/23,12/2/23,CHICK-FIL-A #03576 OAK CREEK WI,$10.27,Restaurants
12/2/23,12/2/23,KETTLE RANGE MEAT COMPAN MILWAUKEE WI,$25.00,Supermarkets
12/2/23,12/2/23,SQ *HAPPY BUDDHA BOUTI MILWAUKEE WI0002305843018902575632,$21.10,Supermarkets
12/2/23,12/2/23,SQ *NOURISH NATURAL PR WAUWATOSA WI0002305843018902669008,$40.09,Services
12/3/23,12/3/23,LS BENTLEYS PET STUFF 2245674700 WI,$47.44,Merchandise
12/3/23,12/3/23,MARCUS BISTROPLEX SR ECO 800-274-0099 WI,$24.79,Travel/ Entertainment
12/3/23,12/3/23,MARCUS BISTROPLEX SR F&B GREENDALE WI,$25.21,Travel/ Entertainment
12/3/23,12/3/23,PTI*BUCKATABON 4153615564 UT,$137.21,Merchandise
12/3/23,12/3/23,SQ *STONE CREEK COFFEE WAUWATOSA WI0002305843018913639038,$15.16,Restaurants
12/3/23,12/3/23,SSA MILWAUKEE COUNTY ZOO MILWAUKEE WI,$37.00,Merchandise
12/3/23,12/3/23,UBER* TRIP 8665761039 CA,$5.00,Travel/ Entertainment
12/4/23,12/4/23,MICROSOFT#G033377924 MSBILL.INFO WA,$13.19,Merchandise
12/4/23,12/4/23,SOREL FOOTWEAR US OR ORAPPLE PAY ENDING IN 7049,$76.93,Merchandise
12/4/23,12/4/23,UBER TRIP 866-576-1039 CA,$5.00,Travel/ Entertainment
12/4/23,12/4/23,UBER TRIP 866-576-1039 CA,$18.14,Travel/ Entertainment
12/4/23,12/4/23,UBER* TRIP 8665761039 CA,$17.07,Travel/ Entertainment
12/4/23,12/4/23,WDW PECOS BILL'S CA 407-828-5630 FLWALT DISNEY PARKS AND RESORTS R1142087,$42.02,Restaurants
12/5/23,12/5/23,ICEBAR ORLANDO ORLANDO FL,$57.25,Restaurants
12/5/23,12/5/23,LANDS END 800-332-4700 WI,$8.82,Merchandise
12/5/23,12/5/23,NEWT SCOOTER RENTAL 8443446398 FL,$11.59,Travel/ Entertainment
12/5/23,12/5/23,PANERA BREAD #606249 O 855-372-6372 WIAPPLE PAY ENDING IN 70491019954274,$23.28,Restaurants
12/5/23,12/5/23,UBER TRIP 866-576-1039 CA,$4.59,Travel/ Entertainment
12/5/23,12/5/23,UBER TRIP 866-576-1039 CA,$23.44,Travel/ Entertainment
12/6/23,12/6/23,HILTON MARKETPLACE ORLANDO FL,$5.06,Restaurants
12/6/23,12/6/23,PAYPAL *EDDIE BAUER 402-935-7733 CA,$52.23,Merchandise
12/6/23,12/6/23,TST* SENOR FROGS ORLANDO ORLANDO FL,$85.00,Restaurants
12/6/23,12/6/23,UBER TRIP 866-576-1039 CA,$3.00,Travel/ Entertainment
12/6/23,12/6/23,UBER TRIP 866-576-1039 CA,$3.00,Travel/ Entertainment
12/6/23,12/6/23,UBER TRIP 866-576-1039 CA,$6.34,Travel/ Entertainment
12/6/23,12/6/23,UBER TRIP 866-576-1039 CA,$13.72,Travel/ Entertainment
12/6/23,12/6/23,UBER* TRIP 8665761039 CA,$3.00,Travel/ Entertainment
12/6/23,12/6/23,WDW TRADING POST LAKE BUENA VIFLWALT DISNEY PARKS AND RESORTS R1144463,$15.96,Merchandise
12/7/23,12/7/23,UBER TRIP 866-576-1039 CA,$10.59,Travel/ Entertainment
12/8/23,12/8/23,365 MARKET K 888 432-329 TROY MI,$1.43,Restaurants
12/8/23,12/8/23,BL - OPEN HEARTH LODGE SISTER BAY WI,$170.88,Travel/ Entertainment
12/8/23,12/8/23,CULVERS OF MANITOWOC MANITOWOC WI,$22.75,Restaurants
12/8/23,12/8/23,SQ *MILWAUKEE ELECTRIC BROOKFIELD WI0002305843018936183574,$443.62,Home Improvement
12/9/23,12/9/23,DINING TROY MI,$1.60,Restaurants
12/9/23,12/9/23,DOOR COUNTY POLAR BEAR P BAILEYS HARBOWI,$26.45,Merchandise
12/9/23,12/9/23,LEGACY GYM MKE 262-989-6696 WI,$95.00,Travel/ Entertainment
12/9/23,12/9/23,LS ALPACA TO APPAREL 9205361394 WI,$21.09,Merchandise
12/9/23,12/9/23,PP*FRYKMAN STUDIO GALL SISTER BAY WI,$31.80,Merchandise
12/9/23,12/9/23,SP SALT WASH 9207465207 WI,$28.49,Merchandise
12/9/23,12/9/23,SQ *888 CHEESE & CO. D SISTER BAY WI0002305843018950017404,$10.55,Restaurants
12/9/23,12/9/23,SQ *DOCO PIT PACS SISTER BAY WI0002305843018949953729,$26.38,Services
12/9/23,12/9/23,SQ *GRASSE?S GRILL GOSQ.COM WI0001152921513482553432,$35.09,Restaurants
12/9/23,12/9/23,SQ *SIP & SPOT SISTER BAY WI0002305843018950870539,$59.28,Merchandise
12/9/23,12/9/23,SQ *SISTER BAY HISTORI SISTER BAY WI0002305843018949382284,$4.00,Travel/ Entertainment
12/9/23,12/9/23,SQ *SISTER BAY HISTORI SISTER BAY WI0002305843018950347573,$20.00,Travel/ Entertainment
12/9/23,12/9/23,SQ *THE NUTMAN SISTER BAY WI0002305843018949935098,$14.50,Supermarkets
12/9/23,12/9/23,WHIMSY MORRIS IL,$57.33,Merchandise
12/10/23,12/10/23,BL - OPEN HEARTH LODGE SISTER BAY WI,$16.96,Travel/ Entertainment
12/10/23,12/10/23,BL - OPEN HEARTH LODGE SISTER BAY WI,$215.47,Travel/ Entertainment
12/10/23,12/10/23,JIMMY JOHNS - 957 MANITOWOC WI,$16.12,Restaurants
12/10/23,12/10/23,KWIK TRIP 00004911691 MANITOWOC WI,$10.72,Gasoline
12/10/23,12/10/23,LEGACY GYM MKE 262-989-6696 WI,$20.00,Travel/ Entertainment
12/10/23,12/10/23,RENARDS CHEESE STURGEON BAY WI,$142.69,Merchandise
12/10/23,12/12/23,SOMERSET INN AND SUITES EPHRAIM WI,-$462.50,Payments and Credits
12/11/23,12/11/23,USPS KIOSK 5687159550 MILWAUKEE WI,$39.60,Government Services
12/12/23,12/12/23,HUMANSCALE 626-304-7419 NJ,$102.66,Merchandise
12/12/23,12/12/23,RIGHT AT SCHOOL 8552872466 IL,$154.00,Education
12/12/23,12/12/23,SQ *MINOCQUA POPCORN A GOSQ.COM WIAPPLE PAY ENDING IN 70490001152921513491946629,$48.42,Supermarkets
12/13/23,12/13/23,365 MARKET K 888 432-329 TROY MI,$1.00,Restaurants
12/13/23,12/13/23,5-365 FOOD SERVICE TROY MI,$3.99,Restaurants
12/13/23,12/13/23,CHICK-FIL-A #03533 4143274885 WI,$28.08,Restaurants
12/13/23,12/13/23,SALON MARIE LLC HALES CORNERSWI,$34.00,Services
12/14/23,12/14/23,TST* MAGGIOS WOOD FIRED WAUWATOSA WIAPPLE PAY ENDING IN 7049,$45.57,Restaurants
12/15/23,12/15/23,365 MARKET K 888 432-329 TROY MI,$1.00,Restaurants
12/15/23,12/15/23,88NINE RADIO MILWAUKEE 4148927928 WI,$15.00,Services
12/15/23,12/15/23,CULVERS BROOKFIELD 2 BROOKFIELD WI,$10.47,Restaurants
12/15/23,12/15/23,NOODLES & CO 210 WAUWATOSA WI,$44.30,Restaurants
12/15/23,12/15/23,SPOTHERO 844-356-8054 8443568054 ILAPPLE PAY ENDING IN 7049,$10.70,Services
12/16/23,12/16/23,LS RUCKUS & GLEE 4143953201 WI,$142.37,Merchandise
12/16/23,12/16/23,MYHEROCARDS 541-264-4579 WY,$54.90,Merchandise
12/16/23,12/16/23,REI.COM 800-426-4840 800-426-4840 WAA292987143,$68.52,Merchandise
12/16/23,12/16/23,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 6300,$95.00,Supermarkets
12/17/23,12/17/23,CHIPOTLE ONLINE 949-524-4000 CA,$45.61,Restaurants
12/17/23,12/19/23,CAFE HOLLANDER W STATE 414-475-6771 WI,$9.31,Restaurants
12/18/23,12/19/23,LEVY @ FISERV FORUM - CO MILWAUKEE WI,$5.30,Restaurants
12/18/23,12/19/23,LEVY @ FISERV FORUM - CO MILWAUKEE WI,$6.10,Restaurants
12/18/23,12/19/23,LEVY @ FISERV FORUM - CO MILWAUKEE WI,$16.96,Restaurants
12/18/23,12/19/23,LEVY @ FISERV FORUM - CO MILWAUKEE WI,$20.72,Restaurants
12/18/23,12/19/23,PP*LOVE YOUR FACE SKINCA WAUWATOSA WI,$240.00,Services
12/19/23,12/19/23,5-365 FOOD SERVICE TROY MI,$0.65,Restaurants
12/19/23,12/19/23,LANDS END 800-332-4700 WI,$47.44,Merchandise
12/19/23,12/19/23,SQ *MILWAUKEE FARMERS GOSQ.COM WI0002305843019002885080,$49.50,Supermarkets
12/20/23,12/20/23,CORNER BAKERY CAFE 1602 414-476-2233 WI,$12.44,Restaurants
12/20/23,12/20/23,DSW INC. 614-237-7100 OHAPPLE PAY ENDING IN 7049,$26.36,Merchandise
12/20/23,12/20/23,GILLES FROZEN CUSTARD MILWAUKEE WI,$44.26,Restaurants
12/20/23,12/20/23,LEVY @ FISERV FORUM - CO MILWAUKEE WI,$20.14,Restaurants
12/20/23,12/20/23,SP POCO PIZZA 9209482878 WI,$104.75,Supermarkets
12/21/23,12/21/23,365 MARKET K 888 432-329 TROY MI,$1.00,Restaurants
12/21/23,12/21/23,5-365 FOOD SERVICE TROY MI,$4.70,Restaurants
12/22/23,12/22/23,5-365 FOOD SERVICE TROY MI,$2.64,Restaurants
12/22/23,12/22/23,FIREFLY RESTAURANT WAUWATOSA WI,$100.00,Restaurants
12/22/23,12/22/23,SPECTRUM 855-707-7328 MORC436049090,$69.99,Services
12/23/23,12/23/23,CULVERS OF FOND DU LAC93 FOND DU LAC WI,$8.31,Restaurants
12/23/23,12/23/23,SENDIK'S WAUWATOSA WAUWATOSA WI,$6.93,Supermarkets
12/23/23,12/23/23,SULLYS SANDWICHES MILWAUKEE WI,$20.00,Restaurants
12/24/23,12/24/23,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 6300,$26.28,Supermarkets
12/24/23,12/24/23,SP GROUNDS & HOUNDS 3238448056 IN,$24.25,Supermarkets
12/25/23,12/25/23,PAYPAL *HULU 402-935-7733 CA,$8.43,Services
12/25/23,12/25/23,SQ *DOCO PIT PACS GOSQ.COM WIAPPLE PAY ENDING IN 70490001152921513533362793,$58.02,Services
12/26/23,12/26/23,PAYPAL *AMERICANGIR 402-935-7733 CA,$118.80,Merchandise
12/26/23,12/26/23,RAY'S WINE AND SPIRITS WAUWATOSA WIAPPLE PAY ENDING IN 6300,$82.21,Merchandise
12/26/23,12/26/23,RIGHT AT SCHOOL 8552872466 IL,$77.00,Education
12/26/23,12/26/23,SENDIK'S WAUWATOSA WAUWATOSA WIAPPLE PAY ENDING IN 6300,$6.92,Supermarkets
12/27/23,12/27/23,TST* BB'S ON NORTH WAUWATOSA WI,$51.06,Restaurants
12/28/23,12/28/23,APPLE.COM/BILL 866-712-7753 CAMKQXS9FG05A0,$20.98,Merchandise
12/28/23,12/28/23,LEGACY GYM MKE 262-989-6696 WI,$15.00,Travel/ Entertainment
12/28/23,12/28/23,WALGREENS #10196 WAUWATOSA WI,$45.32,Merchandise
12/29/23,12/29/23,BUCKATABON TAVERN WAUWATOSA WI,$163.00,Restaurants
12/29/23,12/29/23,PAYMENT - THANK YOU,"-$5,800.00",Payments and Credits
12/29/23,12/29/23,SP NOLAN INTERIOR 7793681681 WYAPPLE PAY ENDING IN 7049,$124.42,Merchandise
12/29/23,12/29/23,SP NOURISH NATURAL P 4142310955 WIAPPLE PAY ENDING IN 7049,$23.20,Merchandise
12/29/23,12/29/23,USPS PO 5687150226 MILWAUKEE WI,$39.60,Government Services
12/30/23,12/30/23,CHICK-FIL-A #03252 2623730609 WIAPPLE PAY ENDING IN 7049,$7.30,Restaurants
12/30/23,12/30/23,FIDDLEHEADS COFFEE ROAST WAUWATOSA WI,$20.24,Restaurants
12/30/23,12/30/23,PICK N SAVE #853 BROOKFIELD WI,$12.15,Supermarkets
12/31/23,12/31/23,LEGACY GYM MKE 262-989-6696 WI,$15.00,Travel/ Entertainment
12/31/23,12/31/23,THE PFISTER F&B MILWAUKEE WI,$57.00,Restaurants
1/1/24,1/1/24,SENDIK'S WAUWATOSA WAUWATOSA WI,$72.19,Supermarkets
1/2/24,1/2/24,MED*FROEDTERT HEALTH I 800-803-8155 WI202907443,$134.21,Medical Services
1/3/24,1/3/24,CULVERS BROOKFIELD 2 OLO 232-781-6610 WI,$25.69,Restaurants
1/3/24,1/3/24,MILWAUKEE JOURNAL 888-426-0491 IN25039297ICG,$69.00,Merchandise
1/4/24,1/4/24,MILTOWN EATS LLC 4144349799 WI,$50.00,Supermarkets
1/5/24,1/5/24,5-365 FOOD SERVICE TROY MI,$4.89,Restaurants
1/5/24,1/5/24,CAFE ZUPAS GREENFIELD GREENFIELD WI,$24.19,Restaurants
1/5/24,1/5/24,MICROSOFT G035711322 REDMOND WA,$13.19,Merchandise
1/5/24,1/5/24,RAY'S WINE AND SPIRITS WAUWATOSA WI,$50.81,Merchandise
1/5/24,1/5/24,SQ *JOY ICE CREAM SOCI WAUWATOSA WI0002305843019089900452,$18.98,Supermarkets
1/6/24,1/6/24,5-365 FOOD SERVICE TROY MI,$1.60,Restaurants
1/6/24,1/6/24,MADACC 414-649-8640 WI120210018,$13.00,Services
1/6/24,1/6/24,PY *KETTLE RANGE MEAT CO MILWAUKEE WI,$36.34,Supermarkets
1/6/24,1/6/24,SQ *STONE CREEK COFFEE WAUWATOSA WI0002305843019090914597,$16.84,Restaurants
1/6/24,1/6/24,TST* BB'S ON NORTH WAUWATOSA WI,$77.00,Restaurants
1/6/24,1/6/24,VENMO 855-812-4430 NY,$115.36,Services
1/7/24,1/7/24,BCS*MPP WAUWATOSA SCHOOL WAUWATOSA WI,$100.00,Education
1/7/24,1/7/24,OLD NAVY US 3995 WAUWATOSA WI00780P,$71.99,Merchandise
1/7/24,1/7/24,PY *KETTLE RANGE MEAT CO MILWAUKEE WI,$40.90,Supermarkets
